Genus,Pvalue,Odds ratio,95% confidence interval lower,95% confidence interval upper
Porphyrio,1.000,0.000,0.000,Inf
Chrysolophus,1.000,0.000,0.000,10.959
Diplogale,0.327,Inf,0.053,Inf
Madoqua,1.000,0.000,0.000,79.990
Nisaetus,0.327,Inf,0.053,Inf
Lagorchestes,1.000,0.000,0.000,Inf
Distoechurus,1.000,0.000,0.000,Inf
Tapirus,1.000,0.000,0.000,Inf
Butorides,1.000,0.000,0.000,Inf
Rhinoceros,1.000,0.000,0.000,Inf
Cynomops,1.000,0.000,0.000,Inf
Pattonomys,1.000,0.000,0.000,Inf
Procarduelis,1.000,0.000,0.000,Inf
Rostratula,1.000,0.000,0.000,Inf
Litocranius,1.000,0.000,0.000,Inf
Coendou,1.000,0.000,0.000,Inf
Spalax,1.000,0.000,0.000,Inf
Cervus,1.000,0.000,0.000,Inf
Pteropus,1.000,0.000,0.000,Inf
Petroica,1.000,0.000,0.000,Inf
Petaurista,1.000,0.000,0.000,Inf
Bettongia,1.000,0.000,0.000,Inf
Chimarrogale,1.000,0.000,0.000,Inf
Gymnomystax,1.000,0.000,0.000,Inf
Myocastor,1.000,0.000,0.000,Inf
Phoebastria,1.000,0.000,0.000,Inf
Trinomys,1.000,0.000,0.000,Inf
Micromys,1.000,0.000,0.000,Inf
Pan,1.000,0.000,0.000,Inf
Tarsius,1.000,0.000,0.000,Inf
Hylaeamys,1.000,0.000,0.000,Inf
Gracupica,1.000,0.000,0.000,Inf
Zalophus,1.000,0.000,0.000,Inf
Botaurus,1.000,0.000,0.000,Inf
Eozapus,1.000,0.000,0.000,Inf
Gallicrex,1.000,0.000,0.000,Inf
Gruiformes,1.000,0.000,0.000,Inf
Laonastes,1.000,0.000,0.000,Inf
Meleagris,1.000,0.000,0.000,Inf
Motacilla,1.000,0.000,0.000,Inf
Podargus,1.000,0.000,0.000,Inf
Synthliboramphus,1.000,0.000,0.000,Inf
Tympanoctomys,1.000,0.000,0.000,Inf
Pecari,1.000,0.000,0.000,Inf
Thylogale,1.000,0.000,0.000,Inf
Ixobrychus,1.000,0.000,0.000,Inf
Antidorcas,1.000,0.000,0.000,Inf
Bradypus,1.000,0.000,0.000,Inf
Lophocebus,1.000,0.000,0.000,Inf
Aptenodytes,1.000,0.000,0.000,Inf
Apus,1.000,0.000,0.000,Inf
Burhinus,1.000,0.000,0.000,Inf
Emeus,1.000,0.000,0.000,Inf
Fringilla,1.000,0.000,0.000,Inf
Pyrgilauda,1.000,0.000,0.000,Inf
Scolopax,1.000,0.000,0.000,Inf
Sturnella,1.000,0.000,0.000,Inf
Catopuma,1.000,0.000,0.000,Inf
Bandicota,1.000,0.000,0.000,Inf
Chiropotes,1.000,0.000,0.000,Inf
Eptesicus,1.000,0.000,0.000,Inf
Spinus,1.000,0.000,0.000,Inf
Bonasa,1.000,0.000,0.000,Inf
Capricornis,1.000,0.000,0.000,Inf
Chalcophaps,1.000,0.000,0.000,Inf
Civettictis,1.000,0.000,0.000,Inf
Geocapromys,1.000,0.000,0.000,Inf
Mionectes,1.000,0.000,0.000,Inf
Neusticomys,1.000,0.000,0.000,Inf
Oreotrochilus,1.000,0.000,0.000,Inf
Pilosa,1.000,0.000,0.000,Inf
Potamochoerus,1.000,0.000,0.000,Inf
Psittrichas,1.000,0.000,0.000,Inf
Pygoscelis,1.000,0.000,0.000,Inf
Procyon,1.000,0.000,0.000,Inf
Naemorhedus,1.000,0.000,0.000,Inf
Neodon,1.000,0.000,0.000,Inf
Meriones,1.000,0.000,0.000,Inf
Dasypus,1.000,0.000,0.000,Inf
Chrysochloris,1.000,0.000,0.000,Inf
Lagothrix,1.000,0.000,0.000,Inf
Heterocephalus,1.000,0.000,0.000,Inf
Elephantulus,1.000,0.000,0.000,Inf
Excalfactoria,1.000,0.000,0.000,Inf
Emberiza,1.000,0.000,0.000,Inf
Sicista,1.000,0.000,0.000,Inf
Nasua,1.000,0.000,0.000,Inf
Anthus,1.000,0.000,0.000,Inf
Bassariscus,1.000,0.000,0.000,Inf
Calidris,1.000,0.000,0.000,Inf
Caprimulgus,1.000,0.000,0.000,Inf
Ianthocincla,1.000,0.000,0.000,Inf
Mesocricetus,1.000,0.000,0.000,Inf
Ptilopachus,1.000,0.000,0.000,Inf
Sternula,1.000,0.000,0.000,Inf
Handleyomys,1.000,0.000,0.000,Inf
Thylamys,1.000,0.000,0.000,Inf
Anomalurus,1.000,0.000,0.000,Inf
Ptilinopus,1.000,0.000,0.000,Inf
Lemur,1.000,0.000,0.000,Inf
Aphelocoma,1.000,0.000,0.000,Inf
Argusianus,1.000,0.000,0.000,Inf
Brotogeris,1.000,0.000,0.000,Inf
Chauna,1.000,0.000,0.000,Inf
Chaerephon,1.000,0.000,0.000,Inf
Eulemur,1.000,0.000,0.000,Inf
Pusa,1.000,0.000,0.000,Inf
Myomyscus,1.000,0.000,0.000,Inf
Dugong,1.000,0.000,0.000,Inf
Cercocebus,1.000,0.000,0.000,Inf
Acryllium,1.000,0.000,0.000,Inf
Asio,1.000,0.000,0.000,Inf
Coracopsis,1.000,0.000,0.000,Inf
Corvus,1.000,0.000,0.000,Inf
Galliformes,1.000,0.000,0.000,Inf
Oriolus,1.000,0.000,0.000,Inf
Pardalotus,1.000,0.000,0.000,Inf
Pseudopodoces,1.000,0.000,0.000,Inf
Thryonomys,1.000,0.000,0.000,Inf
Connochaetes,1.000,0.000,0.000,Inf
Galemys,1.000,0.000,0.000,Inf
Rhinolophus,1.000,0.000,0.000,Inf
Chalinolobus,1.000,0.000,0.000,Inf
Ninox,1.000,0.000,0.000,Inf
Sundamys,1.000,0.000,0.000,Inf
Hippocamelus,1.000,0.000,0.000,Inf
Varecia,1.000,0.000,0.000,Inf
Aotus,1.000,0.000,0.000,Inf
Rucervus,1.000,0.000,0.000,Inf
Blastocerus,1.000,0.000,0.000,Inf
Miniopterus,1.000,0.000,0.000,Inf
Myrmotherula,1.000,0.000,0.000,Inf
Tachycineta,1.000,0.000,0.000,Inf
Alectura,1.000,0.000,0.000,Inf
Aquila,1.000,0.000,0.000,Inf
Drepanis,1.000,0.000,0.000,Inf
Dryobates,1.000,0.000,0.000,Inf
Eidolon,1.000,0.000,0.000,Inf
Euryzygomatomys,1.000,0.000,0.000,Inf
Mesomys,1.000,0.000,0.000,Inf
Neophema,1.000,0.000,0.000,Inf
Neoromicia,1.000,0.000,0.000,Inf
Perdix,1.000,0.000,0.000,Inf
Caracal,1.000,0.000,0.000,Inf
Otocolobus,1.000,0.000,0.000,Inf
Hippopotamus,1.000,0.000,0.000,Inf
Larus,1.000,0.000,0.000,Inf
Phoenicopterus,1.000,0.000,0.000,Inf
Cormura,1.000,0.000,0.000,Inf
Eumetopias,1.000,0.000,0.000,Inf
Lagostrophus,1.000,0.000,0.000,Inf
Delphinus,1.000,0.000,0.000,Inf
Gallirallus,1.000,0.000,0.000,Inf
Wallabia,1.000,0.000,0.000,Inf
Tlacuatzin,1.000,0.000,0.000,Inf
Tolypeutes,1.000,0.000,0.000,Inf
Odobenus,1.000,0.000,0.000,Inf
Cebus,1.000,0.000,0.000,Inf
Eudocimus,1.000,0.000,0.000,Inf
Balearica,1.000,0.000,0.000,Inf
Perognathus,1.000,0.000,0.000,Inf
Trichosurus,1.000,0.000,0.000,Inf
Indri,1.000,0.000,0.000,Inf
Thylacinus,1.000,0.000,0.000,Inf
Anseranas,1.000,0.000,0.000,Inf
Arenaria,1.000,0.000,0.000,Inf
Atherurus,1.000,0.000,0.000,Inf
Bubo,1.000,0.000,0.000,Inf
Calyptorhynchus,1.000,0.000,0.000,Inf
Cinnyris,1.000,0.000,0.000,Inf
Gerbilliscus,1.000,0.000,0.000,Inf
Manorina,1.000,0.000,0.000,Inf
Pandion,1.000,0.000,0.000,Inf
Pyrrhocoma,1.000,0.000,0.000,Inf
Sterna,1.000,0.000,0.000,Inf
Sturnus,1.000,0.000,0.000,Inf
Vampyressa,1.000,0.000,0.000,Inf
Pudu,1.000,0.000,0.000,Inf
Hapalemur,1.000,0.000,0.000,Inf
Sigmodon,1.000,0.000,0.000,Inf
Prolemur,1.000,0.000,0.000,Inf
Loris,1.000,0.000,0.000,Inf
Rousettus,1.000,0.000,0.000,Inf
Empidonax,1.000,0.000,0.000,Inf
Philantomba,1.000,0.000,0.000,Inf
Colobus,1.000,0.000,0.000,Inf
Delphininae,1.000,0.000,0.000,Inf
Hemitragus,1.000,0.000,0.000,Inf
Pappogeomys,1.000,0.000,0.000,Inf
Hylopetes,1.000,0.000,0.000,Inf
Gulo,1.000,0.000,0.000,Inf
Procapra,1.000,0.000,0.000,Inf
Charadrius,1.000,0.000,0.000,Inf
Dactylomys,1.000,0.000,0.000,Inf
Dives,1.000,0.000,0.000,Inf
Dysithamnus,1.000,0.000,0.000,Inf
Gerygone,1.000,0.000,0.000,Inf
Giraffa,1.000,0.000,0.000,Inf
Jacana,1.000,0.000,0.000,Inf
Leucogeranus,1.000,0.000,0.000,Inf
Linaria,1.000,0.000,0.000,Inf
Macronectes,1.000,0.000,0.000,Inf
Melopsittacus,1.000,0.000,0.000,Inf
Micromurexia,1.000,0.000,0.000,Inf
Phaethornis,1.000,0.000,0.000,Inf
Phoenicurus,1.000,0.000,0.000,Inf
Primolius,1.000,0.000,0.000,Inf
Salpornis,1.000,0.000,0.000,Inf
Sasia,1.000,0.000,0.000,Inf
Scarturus,1.000,0.000,0.000,Inf
Sitta,1.000,0.000,0.000,Inf
Somateria,1.000,0.000,0.000,Inf
Taeniopygia,1.000,0.000,0.000,Inf
Tinamiformes,1.000,0.000,0.000,Inf
Crocuta,1.000,0.000,0.000,Inf
Hipposideros,1.000,0.000,0.000,Inf
Erignathus,1.000,0.000,0.000,Inf
Fukomys,1.000,0.000,0.000,Inf
Anhinga,1.000,0.000,0.000,Inf
Metachirus,1.000,0.000,0.000,Inf
Capreolus,1.000,0.000,0.000,Inf
Pygathrix,1.000,0.000,0.000,Inf
Chinchilla,1.000,0.000,0.000,Inf
Eubalaena,1.000,0.000,0.000,Inf
Pteromys,1.000,0.000,0.000,Inf
Castor,1.000,0.000,0.000,Inf
Kerivoula,1.000,0.000,0.000,Inf
Delphinidae,1.000,0.000,0.000,Inf
Volemys,1.000,0.000,0.000,Inf
Pterorhinus,1.000,0.000,0.000,Inf
Cephalorhynchus,1.000,0.000,0.000,Inf
Alectoris,1.000,0.000,0.000,Inf
Cecropis,1.000,0.000,0.000,Inf
Cerdocyon,1.000,0.000,0.000,Inf
Cinclodes,1.000,0.000,0.000,Inf
Dephomys,1.000,0.000,0.000,Inf
Diplomys,1.000,0.000,0.000,Inf
Halcyon,1.000,0.000,0.000,Inf
Hemigalus,1.000,0.000,0.000,Inf
Leucosticte,1.000,0.000,0.000,Inf
Nesiotites,1.000,0.000,0.000,Inf
Nipponia,1.000,0.000,0.000,Inf
Oedistoma,1.000,0.000,0.000,Inf
Orthopsittaca,1.000,0.000,0.000,Inf
Otis,1.000,0.000,0.000,Inf
Paroreomyza,1.000,0.000,0.000,Inf
Pseudochirulus,1.000,0.000,0.000,Inf
Pseudois,1.000,0.000,0.000,Inf
Recurvirostra,1.000,0.000,0.000,Inf
Rhabdornis,1.000,0.000,0.000,Inf
